         191703 function calls (190411 primitive calls) in 594.125 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100  544.733    5.447  544.733    5.447 {method 'build' of 'sklearn.tree._tree.DepthFirstTreeBuilder' objects}
      100   40.942    0.409   40.943    0.409 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
      200    3.165    0.016    3.173    0.016 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
  967/966    2.868    0.003    3.355    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
      444    0.457    0.001    0.457    0.001 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.351    0.004  551.850    5.519 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:152(_parallel_build_trees)
      200    0.264    0.001  593.138    2.966 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:115(__call__)
       32    0.154    0.005    0.154    0.005 {method 'take' of 'numpy.ndarray' objects}
        1    0.096    0.096    0.096    0.096 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
      100    0.089    0.001  545.371    5.454 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:1313(fit)
        2    0.069    0.035    0.069    0.035 {pandas._libs.algos.take_2d_axis1_float64_float64}
      302    0.065    0.000    0.140    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1161(check_random_state)
      200    0.049    0.000    0.049    0.000 {function SeedSequence.generate_state at 0x000001F3A1236F70}
      100    0.048    0.000   41.013    0.410 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:657(_accumulate_prediction)
  197/186    0.046    0.000    0.046    0.000 {built-in method numpy.asarray}
8231/8216    0.033    0.000    0.076    0.000 {built-in method builtins.hasattr}
        2    0.028    0.014    0.028    0.014 {pandas._libs.algos.take_2d_axis0_float64_float64}
      100    0.022    0.000  545.282    5.453 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\tree\_classes.py:155(fit)
      238    0.018    0.000    0.064    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:310(_num_samples)
        1    0.018    0.018  594.125  594.125 d:\¢ããåëïò\mc-class\Courses\Independent Scholarship\Python scripts\profiling.py:17(best_model)
      500    0.017    0.000    0.053    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2150(_signature_from_function)
      200    0.016    0.000    0.016    0.000 {method 'popleft' of 'collections.deque' objects}
